,Piauí - Produção de Cimento (t)
2003-1,24.66976
2003-2,25.16714461538462
2003-3,25.520403874643872
2003-4,25.519725303215303
2003-5,25.929311510111855
2003-6,26.26144484344519
2003-7,26.61879968215487
2003-8,26.938799682154865
2003-9,27.309193621548808
2003-10,27.577664209784103
2003-11,27.76203563835553
2003-12,28.01203563835553
2004-1,28.294738341058235
2004-2,28.776396235795072
2004-3,29.089421876820715
2004-4,29.068821876820714
2004-5,29.16343163291828
2004-6,29.48781258529923
2004-7,29.332417236462028
2004-8,29.649826327371116
2004-9,29.500226327371116
2004-10,29.841943718675466
2004-11,29.63792244207972
2004-12,29.824526608746382
2005-1,29.619955180174955
2005-2,29.564428551198926
2005-3,29.390699651929832
2005-4,29.50950160656832
2005-5,29.708129694391857
2005-6,29.601268841009812
2005-7,29.71846933075603
2005-8,29.727829935829522
2005-9,29.83640198182288
2005-10,30.12826337693052
2005-11,30.37394907421922
2005-12,30.64019220556338
2006-1,30.793991319179863
2006-2,30.9255066860803
2006-3,30.958631389147346
2006-4,31.074676481235645
2006-5,31.552693922142076
2006-6,31.556454377024192
2006-7,31.980528699304298
2006-8,32.774428933239854
2006-9,32.88411470070656
2006-10,33.518336912407285
2006-11,33.79656942656508
2006-12,34.416256099717835
2007-1,34.63657710973767
2007-2,35.086671434830784
2007-3,35.5061457793947
2007-4,35.739807945261326
2007-5,36.17985501339792
2007-6,36.618869815826606
2007-7,37.24210657041471
2007-8,37.74858896306081
2007-9,38.332543228922674
2007-10,38.947076723761434
2007-11,39.50646066961513
2007-12,39.9704098858477
2008-1,40.12972045075146
2008-2,40.35340880037538
2008-3,40.80738639454466
2008-4,41.21960588445073
2008-5,41.981053423291854
2008-6,41.86569341311124
2008-7,42.90067788323546
2008-8,43.35770133596874
2008-9,43.741910976840764
2008-10,44.391110900843515
2008-11,44.7628817985667
2008-12,45.13333715309734
2009-1,45.49303268479896
2009-2,45.77169504347369
2009-3,46.01794042324191
2009-4,46.16634439556532
2009-5,46.68866146597969
2009-6,46.8958820058283
2009-7,47.42131082603242
2009-8,47.77782519859604
2009-9,47.888360631974315
2009-10,48.14282629326107
2009-11,48.17210689672026
2009-12,48.21818130951832
2010-1,48.39280929775649
2010-2,48.62162743749129
2010-3,49.01628496069774
2010-4,48.80109921714985
2010-5,49.30345622393962
2010-6,49.297239954565086
2010-7,50.21331233296209
2010-8,50.25283548499734
2010-9,50.34530761048772
2010-10,50.306519786684596
2010-11,50.29436486598748
2010-12,50.5157012551185
2011-1,50.21948419597608
2011-2,49.88992198191848
2011-3,50.055600082703066
2011-4,50.21473599412063
2011-5,50.65251949613197
2011-6,50.891863537563644
2011-7,51.33100601780315
2011-8,51.502652858451526
2011-9,51.53428199436694
2011-10,51.702198756864746
2011-11,51.795818603060745
2011-12,52.273506597067694
2012-1,52.247941807017675
2012-2,51.97167920516586
2012-3,51.926240611503246
2012-4,51.698972651024064
2012-5,52.00189601556376
2012-6,51.643044349503626
2012-7,51.565984963977584
2012-8,51.2488505861849
2012-9,50.981365180086684
2012-10,50.67258384768783
2012-11,50.40611809966166
2012-12,50.0988186029728
2013-1,49.73588280540714
2013-2,49.80314575078912
2013-3,49.87382262070777
2013-4,49.730998590871124
2013-5,49.57373572841413
2013-6,49.365175126740596
2013-7,49.082360494449745
2013-8,48.57788259747169
2013-9,48.08398291284527
2013-10,47.62057156132733
2013-11,47.19955059815311
2013-12,46.699852417294935
2014-1,45.91407405211006
2014-2,45.54415780055218
2014-3,45.3275028447729
2014-4,45.107353677521836
2014-5,44.88734979176524
2014-6,44.65667392130871
2014-7,44.42861388341552
2014-8,44.19747219955565
2014-9,43.968085468633184
2014-10,43.7394762616939
2014-11,43.512503220580314
2014-12,43.28633615307721
2015-1,43.06182484943502
2015-2,42.78876185907991
2015-3,42.51217268344735
2015-4,42.0675075243779
2015-5,41.537897502612736
2015-6,40.97669963794623
2015-7,40.41172433642565
2015-8,39.81702214078084
2015-9,39.14167338510493
2015-10,38.46606123730848
2015-11,37.76212953973375
2015-12,37.00104747731703
2016-1,36.23805029195305
2016-2,35.47893727060874
2016-3,34.7153007000268
2016-4,33.94392048132936
2016-5,33.1647098913196
2016-6,32.377506161572896
2016-7,31.582363962394613
2016-8,30.779067899866494
2016-9,29.967514459348056
2016-10,29.147499307555062
2016-11,28.31883388866593
2016-12,27.481308275478174
2017-1,26.634725199258952
2017-2,25.778866022724745
2017-3,24.965908964839947
2017-4,24.14200562364388
2017-5,23.474770890975837
2017-6,22.886931572371
2017-7,22.325956713889873
2017-8,21.765063497103434
2017-9,21.232248014579405
2017-10,20.784565864160513
2017-11,20.3415149381779
2017-12,19.931196272840026
2018-1,19.582831962544578
2018-2,19.24292954765869
2018-3,18.911582451271954
2018-4,18.58905758905247
2018-5,18.275693040230493
2018-6,17.971835553473568
2018-7,17.67784227575726
2018-8,17.394076527050373
2018-9,17.120913437809225
2018-10,16.858737906757412
2018-11,16.607946857761544
2018-12,16.36894916325329
2019-1,16.142166324228292
2019-2,15.92803246963583
2019-3,15.726995050185035
2019-4,15.53844578662065
2019-5,15.36286293280385
2019-6,15.197313790800338
2019-7,15.040382815666243
2019-8,14.891697634069844
2019-9,14.751424861354872
2019-10,14.61916316435029
2019-11,14.493338619456205
2019-12,14.373988082339437
2020-1,14.260575670288404
2020-2,14.151958194936237
2020-3,14.04806082039088
2020-4,13.948805276903514
2020-5,13.854106250124962
2020-6,13.763869785020766
2020-7,13.677992932603363
2020-8,13.59636335417165
2020-9,13.518859003704739
2020-10,13.445347688723013
2020-11,13.375686663865167
2020-12,13.309722170112181
2021-1,13.271524152965746
2021-2,13.235713131299848
2021-3,13.202221692016456
2021-4,13.170964988324187
2021-5,13.141862356279365
2021-6,13.114812630227151
2021-7,13.089772427123675
2021-8,13.066727598796385
2021-9,13.045671537884465
2021-10,13.026592517741234
2021-11,13.009487830139449
2021-12,12.994396939350873
2022-1,12.981363767027602
2022-2,12.970453820278081
2022-3,12.961775862796316
2022-4,12.955457405378189
2022-5,12.951648328311089
2022-6,12.950525438198097
2022-7,12.952298141243944
2022-8,12.957215498136515
2022-9,12.965575056782992
2022-10,12.977733986777853
2022-11,12.994123228502188
2022-12,13.015265620227753
