Ano,Bahia
1980,0.515
1981,0.5163636363636364
1982,0.5177272727272727
1983,0.5190909090909092
1984,0.5200879960498055
1985,0.5207827538500748
1986,0.5213787112717081
1987,0.5220793970946958
1988,0.523088340099028
1989,0.524609069064696
1990,0.5268451127716898
1991,0.53
1992,0.5343092501647035
1993,0.539720858530764
1994,0.5461040145474436
1995,0.5533279076640039
1996,0.5612617273297064
1997,0.5697746629938129
1998,0.5787359041055852
1999,0.5880146401142848
2000,0.5974800604691735
2001,0.6070013546195129
2002,0.6164477120145648
2003,0.6256883221035909
2004,0.6345923743358527
2005,0.6430290581606121
2006,0.6508675630271306
2007,0.6579770783846701
2008,0.6642267936824922
2009,0.6694858983698584
2010,0.6736235818960308
2011,0.6765090337102705
2012,0.6780114432618397
2012,0.678
2013,0.68
2014,0.694
2015,0.701
2016,0.705
2017,0.71
2018,0.71
2019,0.718
2020,0.724
2021,0.691
